journal,issn,ajg_rank,ft50
Journal of European Economic History,0391-5115,1,0
Journal of Historical Research in Marketing,1755-7518,1,0
Journal of Management History,1758-7751,1,0
Revista de Historia Economica - Journal of Iberian and Latin American,,1,
ESccoanndominaicv Hiaisnt oErcyonomic History Review,,1,
Zeitschrift für Unternehmensgeschichte,2367-2293,1,0
American Economic Review,1944-7981,4*,1
Annals of Statistics,2168-8966,4*,0
Econometrica,1468-0262,4*,1
Journal of Political Economy,1537-534X,4*,1
Quarterly Journal of Economics,1531-4650,4*,1
Review of Economic Studies,1467-937X,4*,1
American Economic Journal: Applied Economics,1945-7790,4,0
American Economic Journal: Macroeconomics,1945-7715,4,0
Biometrika,1464-3510,4,0
Econometric Theory,1469-4360,4,0
Economic Journal,1468-0297,4,0
International Economic Review,1468-2354,4,0
Journal of Business and Economic Statistics,1537-2707,4,0
Journal of Econometrics,1872-6895,4,0
Journal of Economic Literature,2328-8175,4,0
Journal of Economic Perspectives,1944-7965,4,0
Journal of Economic Theory,1095-7235,4,0
Journal of International Economics,1873-0353,4,0
Journal of Labor Economics,1537-5307,4,0
Journal of Monetary Economics,1873-1295,4,0
Journal of the American Statistical Association,1537-274X,4,0
Journal of the European Economic Association,1542-4774,4,0
Journal of the Royal Statistical Society. Series B: Statistical Methodology,1467-9868,4,0
Quantitative Economics,1759-7331,4,0
RAND Journal of Economics,1756-2171,4,0
Review of Economics and Statistics,1530-9142,4,1
Theoretical Economics,1555-7561,4,0
American Economic Journal: Economic Policy,1945-774X,3,0
American Economic Journal: Microeconomics,1945-7685,3,0
American Economic Review: Insights,2640-2068,3,0
American Journal of Agricultural Economics,1467-8276,3,0
Annual Review of Economics,1941-1391,3,0
Brookings Papers on Economic Activity,1533-4465,3,0
Cambridge Journal of Economics,1464-3545,3,0
Canadian Journal of Economics,1540-5982,3,0
Computational Statistics and Data Analysis,1872-7352,3,0
Ecological Economics,1873-6106,3,0
Econometric Reviews,1532-4168,3,0
Econometrics Journal,1368-423X,3,0
Economic Development and Cultural Change,1539-2988,3,0
Economic Inquiry,1465-7295,3,0
Economic Policy,1468-0327,3,0
Economic Theory,1432-0479,3,0
Economica,1468-0335,3,0
Economics Letters,1873-7374,3,0
Energy Economics,1873-6181,3,0
Environmental and Resource Economics,1573-1502,3,0
European Economic Review,1873-572X,3,0
European Review of Agricultural Economics,1464-3618,3,0
Experimental Economics,1573-6938,3,0
Games and Economic Behavior,1090-2473,3,0
Health Economics (United Kingdom),1099-1050,3,0
IMF Economic Review,2041-417X,3,0
International Journal of Industrial Organization,1873-7986,3,0
International Statistical Review,1751-5823,3,0
Journal of Agricultural Economics,1477-9552,3,0
Journal of Applied Econometrics,1099-1255,3,0
Journal of Comparative Economics,1095-7227,3,0
Journal of Computational and Graphical Statistics,1537-2715,3,0
Journal of Development Economics,1872-6089,3,0
Journal of Economic Behavior and Organization,1879-1751,3,0
Journal of Economic Dynamics and Control,1879-1743,3,0
Journal of Economic Growth,1573-7020,3,0
Journal of Environmental Economics and Management,1096-0449,3,0
Journal of Health Economics,1879-1646,3,0
Journal of Human Capital,1932-8664,3,0
Journal of Human Resources,1548-8004,3,0
Journal of Industrial Economics,1467-6451,3,0
Journal of Institutional Economics,1744-1382,3,0
Journal of Law and Economics,1537-5285,3,0
"Journal of Law, Economics, and Organization",1465-7341,3,0
Journal of Legal Studies,1537-5366,3,0
Journal of Mathematical Economics,1873-1538,3,0
Journal of Multivariate Analysis,1095-7243,3,0
Journal of Population Economics,1432-1475,3,0
Journal of Public Economics,0047-2727,3,0
Journal of Risk and Uncertainty,1573-0476,3,0
Journal of the Association of Environmental and Resource,,3,
EJocuornnoaml oisft tshe Royal Statistical Society. Series A: Statistics in Society,,3,
Journal of the Royal Statistical Society. Series C: Applied Statistics,1467-9876,3,0
Journal of Time Series Analysis,1467-9892,3,0
Journal of Urban Economics,1095-9068,3,0
Labour Economics,1879-1034,3,0
Land Economics,1543-8325,3,0
Oxford Bulletin of Economics and Statistics,1468-0084,3,0
Oxford Economic Papers,1464-3812,3,0
Public Choice,1573-7101,3,0
Real Estate Economics,1540-6229,3,0
Review of Economic Dynamics,1096-6099,3,0
Review of Income and Wealth,1475-4991,3,0
Scandinavian Journal of Economics,1467-9442,3,0
Scandinavian Journal of Statistics,1467-9469,3,0
Social Choice and Welfare,1432-217X,3,0
World Bank Economic Review,1564-698X,3,0
Advances in Econometrics,0731-9053,2,0
Agricultural Economics (United Kingdom),1574-0862,2,0
American Journal of Health Economics,,2,
American Law and Economics Review,1465-7260,2,0
Annals of Applied Statistics,1941-7330,2,0
Annals of Economics and Finance,1529-7373,2,0
Annals of Public and Cooperative Economics,1467-8292,2,0
Annual Review of Resource Economics,1941-1359,2,0
Applied Economic Perspectives and Policy,2040-5804,2,0
Applied Economics,1466-4283,2,0
Australian Journal of Agricultural and Resource Economics,1467-8489,2,0
B.E. Journal of Economic Analysis and Policy,1935-1682,2,0
B.E. Journal of Macroeconomics,1935-1690,2,0
B.E. Journal of Theoretical Economics,1935-1704,2,0
Bulletin of Economic Research,1467-8586,2,0
Canadian Journal of Agricultural Economics,1744-7976,2,0
CESifo Economic Studies,1612-7501,2,0
China Economic Review,1873-7781,2,0
Computational Statistics,1613-9658,2,0
Contemporary Economic Policy,1465-7287,2,0
Contributions to Political Economy,1464-3588,2,0
Defence and Peace Economics,1476-8267,2,0
Econ Journal Watch,1933-527X,2,0
Economic Modelling,1873-6122,2,0
Economic Record,1475-4932,2,0
Economic Systems,1878-5433,2,0
Economic Systems Research,1469-5758,2,0
Economic Theory Bulletin,2196-1093,2,0
Economics and Human Biology,1873-6130,2,0
Economics and Philosophy,1474-0028,2,0
Economics and Politics,1468-0343,2,0
Economics of Education Review,1873-7382,2,0
Economics of Innovation and New Technology,1476-8364,2,0
Economics of Transition and Institutional Change,,2,
Empirical Economics,1435-8921,2,0
Environment and Development Economics,1469-4395,2,0
European Journal of Health Economics,1439-6637,2,0
European Journal of Political Economy,1873-5703,2,0
Fiscal Studies,1475-5890,2,0
GENEVA Risk and Insurance Review,1554-9658,2,0
German Economic Review,1468-0475,2,0
History of Political Economy,1527-1919,2,0
Information Economics and Policy,1873-5975,2,0
International Journal of Economic Theory,1742-7363,2,0
International Journal of Game Theory,1432-1270,2,0
International Journal of Health Economics and Management,2199-9031,2,0
International Journal of the Economics of Business,1466-1829,2,0
International Review of Economics and Finance,1873-8036,2,0
International Review of Environmental and Resource Economics,1932-1473,2,0
International Review of Law and Economics,1873-6394,2,0
Journal of African Economies,1464-3723,2,0
Journal of Agrarian Change,1471-0366,2,0
Journal of Agricultural and Resource Economics,2327-8285,2,0
Journal of Applied Probability,1475-6072,2,0
Journal of Applied Statistics,1360-0532,2,0
Journal of Behavioral and Experimental Economics,2214-8051,2,0
Journal of Business Economics,0044-2372,2,0
Journal of Cultural Economics,1573-6997,2,0
Journal of Economic Inequality,1573-8701,2,0
Journal of Economic Issues,1946-326X,2,0
Journal of Economic Methodology,1469-9427,2,0
Journal of Economic Studies,0144-3585,2,0
Journal of Economic Surveys,1467-6419,2,0
Journal of Economics/ Zeitschrift fur Nationalokonomie,1617-7134,2,0
Journal of Evolutionary Economics,1432-1386,2,0
Journal of Family and Economic Issues,1573-3475,2,0
Journal of Forest Economics,1618-1530,2,0
Journal of Housing Economics,1096-0791,2,0
"Journal of Industry, Competition and Trade",1566-1679,2,0
Journal of Institutional and Theoretical Economics,1614-0559,2,0
Journal of International Development,1099-1328,2,0
Journal of Macroeconomics,1873-152X,2,0
Journal of Nonparametric Statistics,1029-0311,2,0
Journal of Policy Modeling,1873-8060,2,0
Journal of Post Keynesian Economics,1557-7821,2,0
Journal of Productivity Analysis,1573-0441,2,0
Journal of Public Economic Theory,1097-3923,2,0
Journal of Regulatory Economics,1573-0468,2,0
Journal of Statistical Planning and Inference,1873-1171,2,0
Journal of the Economics of Ageing,2212-8298,2,0
Journal of the Japanese and International Economies,1095-8681,2,0
Journal of Time Series Econometrics,1941-1928,2,0
Macroeconomic Dynamics,1469-8056,2,0
Managerial and Decision Economics,1099-1468,2,0
Manchester School,1467-9957,2,0
Mathematical Social Sciences,1879-3118,2,0
National Tax Journal,1944-7477,2,0
Networks and Spatial Economics,1572-9427,2,0
North American Journal of Economics and Finance,1879-0860,2,0
Open Economies Review,1573-708X,2,0
Oxford Development Studies,1469-9966,2,0
Oxford Review of Economic Policy,1460-2121,2,0
Pacific Economic Review,1468-0106,2,0
PharmacoEconomics,1179-2027,2,0
Quarterly Review of Economics and Finance,1062-9769,2,0
Rationality and Society,1461-7358,2,0
Resource and Energy Economics,,2,
Resources Policy,1873-7641,2,0
Review of Behavioral Economics,2326-6201,2,0
Review of Development Economics,1467-9361,2,0
Review of Economic Design,1434-4750,2,0
Review of Economics of the Household,1573-7152,2,0
Review of Environmental Economics and Policy,1750-6824,2,0
Review of Industrial Organization,1573-7160,2,0
Review of International Economics,1467-9396,2,0
Review of Law and Economics,1555-5879,2,0
Review of Network Economics,1446-9022,2,0
Review of Political Economy,1465-3982,2,0
Review of World Economics,1610-2886,2,0
Scottish Journal of Political Economy,1467-9485,2,0
Southern Economic Journal,2325-8012,2,0
Spatial Economic Analysis,1742-1780,2,0
Stata Journal,1536-8734,2,0
Statistics and Probability Letters,1879-2103,2,0
Studies in Nonlinear Dynamics and Econometrics,1558-3708,2,0
World Bank Research Observer,1564-6971,2,0
World Economy,1467-9701,2,0
Advances in Austrian Economics,1529-2134,1,0
Advances in Decision Sciences,,1,
Agrekon,2078-0400,1,0
Agricultural and Resource Economics Review,1068-2805,1,0
Annals of Economics and Statistics,1968-3863,1,0
Applied Economic Analysis,,1,
Applied Economics Letters,1466-4291,1,0
Applied Health Economics and Heath Policy,,1,
"Aquaculture, Economics and Management",,1,
Asian Economic Journal,1467-8381,1,0
Asian Economic Papers,1536-0083,1,0
Atlantic Economic Journal,0197-4254,1,0
Australian Economic Papers,1467-8454,1,0
Australian Economic Review,1467-8462,1,0
Baltic Journal of Economics,2334-4385,1,0
Behavioural Public Policy,2398-0648,1,0
Bulletin of Indonesian Economic Studies,1472-7234,1,0
Business Economics,1554-432X,1,0
China Agricultural Economic Review,1756-1388,1,0
China and World Economy,1749-124X,1,0
China Economic Journal,1753-8971,1,0
Cogent Economics and Finance,2332-2039,1,0
Comparative Economic Studies,0888-7233,1,0
Computational Economics,1572-9974,1,0
Constitutional Political Economy,1572-9966,1,0
Contemporary Economics,,1,
Credit and Capital Markets,,1,
De Economist,1572-9982,1,0
Decisions in Economics and Finance,1129-6569,1,0
Dynamic Games and Applications,2153-0793,1,0
Eastern Economic Journal,1939-4632,1,0
Eastern European Economics,1557-9298,1,0
Econometrics,2225-1146,1,0
EconomiA,,1,
Economia Agraria y Recursos Naturales – Agricultural and Resource,,1,
EEccoonnoommiiccs Analysis and Policy,,1,
Economic and Social Review,0012-9984,1,0
Economic Change and Restructuring,,1,
Economic Issues,1363-7029,1,0
Economic Notes,1468-0300,1,0
Economic Research-Ekonomska Istraživanja,,1,
Economics and Business Letters,2254-4380,1,0
Economics and Sociology,2306-3459,1,0
Economics of Energy and Environmental Policy,2160-5890,1,0
Economics of Governance,1435-8131,1,0
Economics of Transportation,2212-0130,1,0
Economies,2227-7099,1,0
Economists' Voice,1553-3832,1,0
Education Economics,1469-5782,1,0
Ekonomicheskaya Politika / Economic Policy,,1,
Ekonomista,,1,
Empirica,1573-6911,1,0
Environmental Economics and Policy Studies,1867-383X,1,0
Eurasian Economic Review,2147-429X,1,0
European Journal of Economics and Economic Policies: Intervention,2052-7772,1,0
European Journal of Law and Economics,1572-9990,1,0
FinanzArchiv,1614-0974,1,0
Forum for Health Economics and Policy,1558-9544,1,0
Foundations and Trends in Econometrics,1551-3084,1,0
Games,2073-4336,1,0
Global Economic Review,1744-3873,1,0
Global Economy Journal,1553-5304,1,0
Global Journal of Emerging Market Economies,,1,
Hacienda Pública Española / Review of Public Economics,,1,
Interdisciplinary Journal of Economics and Business Law,2047-8755,1,0
Intereconomics,1613-964X,1,0
International Advances in Economic Research,1083-0898,1,0
International Economic Journal,1743-517X,1,0
International Economics,,1,
International Game Theory Review,1793-6675,1,0
International Journal of Computational Economics and Econometrics,1757-1189,1,0
International Journal of Ecological Economics and Statistics,0973-7537,1,0
International Journal of Happiness and Development,2049-2804,1,0
International Journal of Political Economy,1558-0970,1,0
International Journal of Social Economics,0306-8293,1,0
International Review of Applied Economics,1465-3486,1,0
Jahrbucher fur Nationalokonomie und Statistik,2366-049X,1,0
Japan and the World Economy,1879-2006,1,0
Japanese Economic Review,1468-5876,1,0
Japanese Political Economy,,1,
Journal for Labour Market Research,1867-8343,1,0
Journal of Agricultural & Applied Economics,1074-0708,1,0
Journal of Agricultural and Food Industrial Organization,1542-0485,1,0
Journal of Air Transport Management,1873-2089,1,0
Journal of Applied Economics,1667-6726,1,0
Journal of Asian Economics,1873-7927,1,0
Journal of Bioeconomics,1573-6989,1,0
Journal of Choice Modelling,1755-5345,1,0
Journal of Competition Law & Economics,,1,
Journal of Developing Areas,1548-2278,1,0
Journal of Econometric Methods,2156-6674,1,0
Journal of Economic and Administrative Sciences,,1,
Journal of Economic and Financial Sciences,,1,
Journal of Economic Asymmetries,,1,
Journal of Economic Cooperation and Development,,1,
Journal of Economic Education,2152-4068,1,0
Journal of Economic Integration,1976-5525,1,0
Journal of Economic Interaction and Coordination,1860-7128,1,0
Journal of Economic Policy Reform,1748-7889,1,0
Journal of Gambling Business and Economics,1751-8008,1,0
Journal of Income Distribution,0926-6437,1,0
Journal of Industrial and Business Economics,1972-4977,1,0
Journal of Interdisciplinary Economics,0260-1079,1,0
Journal of International Trade and Economic Development,1469-9559,1,0
Journal of Mechanism and Institution Design,2399-8458,1,0
Journal of Media Economics,1532-7736,1,0
Journal of the Asia Pacific Economy,1469-9648,1,0
Journal of the Economic Science Association,2199-6784,1,0
Man and the Economy,2196-9647,1,0
Metroeconomica,1467-999X,1,0
Mineral Economics,2191-2211,1,0
Montenegrin Journal of Economics,,1,
National Institute Economic Review,1741-3036,1,0
Natural Resources Journal,0028-0739,1,0
NETNOMICS: Economic Research and Electronic Networking,1385-9587,1,0
New Zealand Economic Papers,1943-4863,1,0
"Peace Economics, Peace Science and Public Policy",1554-8597,1,0
Portuguese Economic Journal,1617-9838,1,0
Post-Communist Economies,1465-3958,1,0
PSL Quarterly Review,,1,
Quantitative Finance and Economics,,1,
Quarterly Journal of Austrian Economics,1936-4806,1,0
Research in Economics,1090-9451,1,0
Research in Transportation Economics,1875-7979,1,0
Review of Austrian Economics,1573-7128,1,0
Review of Economic Analysis,1973-3909,1,0
Review of Economics and Political Science,,1,
Review of Financial Economics,1873-5924,1,0
Review of Radical Political Economics,1552-8502,1,0
Russian Journal of Economics,,1,
SERIEs,1869-4195,1,0
South African Journal of Economic and Management Sciences,,1,
South African Journal of Economics,1813-6982,1,0
South Asia Economic Journal,0973-077X,1,0
Statistical Analysis and Data Mining,1932-1872,1,0
Strategic Behavior and the Environment,1944-0138,1,0
Studies in Agricultural Economics,2063-0476,1,0
Studies in Economics and Finance,1086-7376,1,0
Studies in Microeconomics,,1,
Swiss Journal of Economics and Statistics,2235-6282,1,0
The Forum for Social Economics,1874-6381,1,0
The Journal of Retirement,,1,
Tijdschrift Voor Economische en Sociale Geografie,1467-9663,1,0
Entrepreneurship Theory and Practice,1540-6520,4*,1
Journal of Business Venturing,1873-2003,4*,1
Strategic Entrepreneurship Journal,1932-443X,4,0
Entrepreneurship and Regional Development,1464-5114,3,0
Family Business Review,1741-6248,3,0
International Journal of Entrepreneurial Behaviour and Research,1758-6534,3,0
International Small Business Journal,1741-2870,3,0
Journal of Small Business Management,1540-627X,3,0
Small Business Economics,1573-0913,3,0
Entrepreneurship Research Journal,2157-5665,2,0
International Journal of Entrepreneurship and Innovation,2043-6882,2,0
International Journal of Entrepreneurship and Small Business,1741-8054,2,0
International Review of Entrepreneurship,1649-2269,2,0
Journal of Business Venturing Insights,2352-6734,2,0
Journal of Family Business Strategy,1877-8585,2,0
Journal of Research in Marketing and Entrepreneurship,,2,
Journal of Small Business and Enterprise Development,1462-6004,2,0
Journal of Social Entrepreneurship,1942-0684,2,0
Venture Capital,1464-5343,2,0
International Entrepreneurship and Management Journal,1555-1938,1,0
International Journal of Entrepreneurial Venturing,1742-5379,1,0
International Journal of Management and Enterprise Development,1741-8127,1,0
International Journal of Small and Medium Enterprises,,1,
Journal of Enterprising Communities,1750-6204,1,0
Journal of Enterprising Culture,1793-6330,1,0
Journal of Entrepreneurship,0973-0745,1,0
Journal of Entrepreneurship and Innovation in Emerging Economies,,1,
Journal of Entrepreneurship and Public Policy,2045-211X,1,0
Journal of Entrepreneurship in Emerging Economies,2053-4612,1,0
"Journal of Entrepreneurship, Management and Innovation",,1,
Journal of International Entrepreneurship,1570-7385,1,0
Journal of Small Business and Entrepreneurship,2169-2610,1,0
Small Business International Review,,1,
Small Enterprise Research,1175-0979,1,0
"Social Enterprise Journal World Review of Entrepreneurship, Management and Sustainable Develop1ment",,1,
Academy of Management Annals,1941-6067,4*,1
Academy of Management Journal,1948-0989,4*,1
Academy of Management Review,1930-3807,4*,1
Administrative Science Quarterly,1930-3815,4*,1
Journal of Management,1557-1211,4*,1
Academy of Management Perspectives,1558-9080,4,0
British Journal of Management,1467-8551,4,0
Journal of Management Studies,1467-6486,4,1
Academy of Management Discoveries,2168-1007,3,0
Business and Society,1552-4205,3,0
Business Ethics Quarterly,2153-3326,3,0
California Management Review,2162-8564,3,0
European Management Review,1740-4762,3,0
Gender and Society,1552-3977,3,0
"Gender, Work and Organization",1468-0432,3,0
Harvard Business Review,0017-8012,3,1
International Journal of Management Reviews,1468-2370,3,0
Journal of Business Ethics,1573-0697,3,0
Journal of Business Research,1873-7978,3,0
Journal of Management Inquiry,1552-6542,3,0
MIT Sloan Management Review,1532-9194,3,0
Africa Journal of Management,2332-2373,2,0
Australian Journal of Management,1327-2020,2,0
BRQ Business Research Quarterly,2340-9444,2,0
Business and Politics,1369-5258,2,0
"Business Ethics, the Environment and Responsibility",,2,
Business Horizons,1873-6068,2,0
Canadian Journal of Administrative Sciences,1936-4490,2,0
Competition and Change,1477-2221,2,0
"Equality, Diversity and Inclusion: an International Journal",2040-7149,2,0
Eurasian Business Review,2147-4281,2,0
European Business Review,0955-534X,2,0
European Journal of Women's Studies,1461-7420,2,0
European Management Journal,1873-5681,2,0
Feminist Economics,1466-4372,2,0
Feminist Review,1466-4380,2,0
Global Journal of Flexible Systems Management,0972-2696,2,0
IIM Kozhikode Society & Management Review,2321-029X,2,0
International Journal of Business Governance and Ethics,1741-802X,2,0
International Journal of Conflict Management,1758-8545,2,0
International Journal of Gender and Entrepreneurship,1756-6274,2,0
International Studies of Management and Organization,1558-0911,2,0
Journal of Intellectual Capital,1758-7468,2,0
Journal of Management and Organization,1839-3527,2,0
Management Decision,1758-6070,2,0
Management Revue,1861-9908,2,0
Review of Managerial Science,1863-6691,2,0
Scandinavian Journal of Management,1873-3387,2,0
Schmalenbach Journal of Business Research,,2,
Sex Roles,1573-2762,2,0
Signs,1545-6943,2,0
Acta Commercii,1684-1999,1,0
American Journal of Business,1935-5181,1,0
Annals of Work Exposures and Health,2398-7316,1,0
Asian Journal of Management Cases,0973-0621,1,0
Baltic Journal of Management,1746-5273,1,0
Business & Professional Ethics Journal,2153-7828,1,0
Business and Human Rights Journal,2057-0201,1,0
Business Perspectives and Research,2394-9937,1,0
CASE Journal,1544-9106,1,0
Cogent Business and Management,2331-1975,1,0
Economic and Business Review,2335-4216,1,0
Emerald Emerging Markets Case Studies,2045-0621,1,0
FIIB Business Review,2455-2658,1,0
Gender in Management: An International Journal,1754-2413,1,0
Global Business Review,0973-0664,1,0
International Journal of Arts Management,1480-8986,1,0
International Journal of Business Competition and Growth,2042-3853,1,0
International Journal of Business Environment,1740-0597,1,0
International Journal of Business Excellence,1756-0055,1,0
International Journal of Contemporary Management,2449-8939,1,0
International Journal of Globalisation and Small Business,1479-3067,1,0
International Journal of Knowledge-Based Development,2040-4476,1,0
International Journal of Management and Decision Making,1741-5187,1,0
International Journal of Management Concepts and Philosophy,1741-8135,1,0
International Journal of Management Practice,1741-8143,1,0
"International Journal of Management, Economics and Social Sciences",2304-1366,1,0
International Journal of Managing Projects in Business,1753-8386,1,0
Iranian Journal of Management Studies,2345-3745,1,0
Irish Journal of Management,2451-2834,1,0
Journal for Global Business Advancement,1746-9678,1,0
Journal of Contemporary Administration,1982-7849,1,0
Journal of Creating Value,2454-213X,1,0
Journal of Family Business Management,2043-6246,1,0
Journal of General Management,0306-3070,1,0
Journal of Global Responsibility,2041-2568,1,0
Journal of Human Values,0973-0737,1,0
Journal of Indian Business Research,1755-4209,1,0
Journal of Islamic Business & Management,2521-2249,1,0
Journal of Management and Governance,1572-963X,1,0
Journal of Management Sciences,2313-0113,1,0
"Journal of Management, Spirituality and Religion",1942-258X,1,0
Journal of Revenue and Pricing Management,1477-657X,1,0
Management,1846-3363,1,0
Management Research Review,2040-8269,1,0
Measuring Business Excellence,1368-3047,1,0
Metamorphosis- A Journal of Management Research,2348-9324,1,0
Organization Management Journal,1541-6518,1,0
Policy and Practice in Health and Safety,1477-4003,1,0
Problems and Perspectives in Management,1810-5467,1,0
PSU Research Review: An International Interdisciplinary Journal,2398-4007,1,0
RAE Revista de Administracao de Empresas,2178-938X,1,0
RAUSP Management Journal,2531-0488,1,0
Safety and Reliability,2469-4126,1,0
Social Responsibility Journal,1758-857X,1,0
South Asian Journal of Business and Management Cases,2321-0303,1,0
South Asian Journal of Business Studies,2398-6298,1,0
Symphonya. Emerging Issues in Management,1593-0319,1,0
Vezetlstudomány | Budapest Management Review,0133-0179,1,0
Vikalpa,2395-3799,1,0
Vision,2249-5304,1,0
Journal of Finance,1540-6261,4*,1
Journal of Financial Economics,0304-405X,4*,1
Review of Financial Studies,1465-7368,4*,1
Journal of Corporate Finance,1872-6313,4,0
Journal of Financial and Quantitative Analysis,1756-6916,4,1
Journal of Financial Intermediation,1096-0473,4,0
"Journal of Money, Credit and Banking",1538-4616,4,0
Review of Finance,1573-692X,4,1
Annual Review of Financial Economics,1941-1375,3,0
Corporate Governance: An International Review,1467-8683,3,0
European Financial Management,1468-036X,3,0
European Journal of Finance,1466-4364,3,0
Finance and Stochastics,1432-1122,3,0
Financial Analysts Journal,1938-3312,3,0
Financial Management,1755-053X,3,0
"Financial Markets, Institutions and Instruments",1468-0416,3,0
Financial Review,1540-6288,3,0
Insurance: Mathematics and Economics,1873-5959,3,0
International Journal of Central Banking,1815-7556,3,0
